date,gasUsedMintAvalanche,timeMintAvalanche,gasUsedApproveAvalanche,timeApproveAvalanche,gasUsedTransferAvalanche,timeTransferAvalanche,gasUsedMintAmoy,timeMintAmoy,priceAmoy (USD),priceAvalanche (USD),full Time (ms),gasPriceAmoy,gasPriceAvalanchedate,gasUsedMintAvalanche,timeMintAvalanche,gasUsedApproveAvalanche,timeApproveAvalanche,gasUsedTransferAvalanche,timeTransferAvalanche,gasUsedMintAmoy,timeMintAmoy,priceAmoy (USD),priceAvalanche (USD),full Time (ms),gasPriceAmoy,gasPriceAvalanche
2025-01-06T18:10:41.534Z,93625,8910,49088,6874,233472,7757,230088,9121,44.03,3676.1,40351,31625000000,1000000001
date,gasUsedMintAvalanche,timeMintAvalanche,gasUsedApproveAvalanche,timeApproveAvalanche,gasUsedTransferAvalanche,timeTransferAvalanche,gasUsedMintAmoy,timeMintAmoy,priceAmoy (USD),priceAvalanche (USD),full Time (ms),gasPriceAmoy,gasPriceAvalanche
2025-01-06T18:15:58.964Z,76525,8971,49100,9052,202084,5431,161688,8741,44.14,3672.5,39164,30000000015,1000000001
